,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
LIVING LASER/ARTHUR ,IRON MAN IV/JAMES R.,ERWIN CLYTEMNESTRA,CABE BETHANY,IRON MAN/TONY STARK ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CABE BETHANY,IRON MAN IV/JAMES R.,ERWIN CLYTEMNESTRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPYMASTER/JAKE JORDA,HOGAN VIRGINIA PEPP,IRON MAN/TONY STARK ,IRON MAN IV/JAMES R.,HOGAN HAROLD J. HAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOGAN VIRGINIA PEPP,IRON MAN/TONY STARK ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOGAN HAROLD J. HAP,HOGAN VIRGINIA PEPP,IRON MAN/TONY STARK ,IRON MAN IV/JAMES R.,CYCLOPS/SCOTT SUMMER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATROC/GEORGES BATRO,CAPTAIN AMERICA,CARTER SHARON,ZARAN/MAXIMILLIAN ZA,SILVER SABLE,MOCKINGBIRD/DR. BARB,HAWK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARTER SHARON,CAPTAIN AMERICA,KA-ZAR/KEVIN PLUNDER,BILLUPS AGENT,PROTOCIDE/PRIVATE CL,ZABU,PLUNDER ADAM KYLE M,MANNING DR.,SHANNA/SHANNA O'HARA,COUNT NEFARIA LUCHI,RAMIREZ JAVIER,JARVIS EDWIN ,FURY COL. NICHOLAS ,NIGHTMARE/EDVARD HAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARNILLA [ASGARDIAN],HEIMDALL [ASGARDIAN],ENCHANTRESS/AMORA/HE,LOKI [ASGARDIAN],NIGHTMARE/EDVARD HAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEIMDALL [ASGARDIAN],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENCHANTRESS/AMORA/HE,HEIMDALL [ASGARDIAN],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOKI [ASGARDIAN],HEIMDALL [ASGARDIAN],ENCHANTRESS/AMORA/HE,VOLLA,CASE COL. PRESTON,PERRIKUS,BRADLEY HANK,HAWK,THOR/DR. DONALD BLAK,COLLINS DEMITRIUS,KINCAID DR. JANE FO,HELA [ASGARDIAN],SCARLET WITCH/WANDA ,DESTROYER III,IRON MAN/TONY STARK ,FAIRMONT HANNAH,MAD VIKING/KNUT CAIN,ANT-MAN/DR. HENRY J.,DELPHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIGHTMARE/EDVARD HAB,HEIMDALL [ASGARDIAN],ENCHANTRESS/AMORA/HE,LOKI [ASGARDIAN],LURKING UNKNOWN,WOLFE SARA,D'SPAYRE,DWELLER IN DARKNESS,CLEA,SCARECROW II,PHOBOS,DR. STRANGE/STEPHEN ,NOX,RINTRAH,DEIMOS,WONG,FEAR EATER/KKALLAKKU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZANIAC/BRAD WOLFE,THOR/DR. DONALD BLAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THOR/DR. DONALD BLAK,GRANT GLORIA GLORY,FAIRMONT HANNAH,PARKER MAY,JAMESON J. JONAH,MCCORMICK BARRY,SPIDER-MAN/PETER PAR,TOKKOTS,SOUTHERN CANDY,WASP/JANET VAN DYNE ,ANGEL/WARREN KENNETH,JARVIS EDWIN ,TIGRA/GREER NELSON,IRON MAN/TONY STARK ,GHOST RIDER II/JOHNN,CAPTAIN AMERICA,EGGHEAD/PROF. ELIHAS,STARR TRIXIE TRISH,THING/BENJAMIN J. GR,INVISIBLE WOMAN/SUE ,HUMAN TORCH/JOHNNY S,HERCULES [GREEK GOD],VISION ,BLACK PANTHER/T'CHAL,BLACK WIDOW/NATASHA ,ANT-MAN/DR. HENRY J.,MOON KNIGHT/MARC SPE,BEAST/HENRY &HANK& P,WONDER MAN/SIMON WIL,JOCASTA,SCARLET WITCH/WANDA ,MOONDRAGON/HEATHER D,DRAX/ARTHUR DOUGLAS,HARDY MORGAN MACNEI,VOLLA,CASE COL. PRESTON,PERRIKUS,BRADLEY HANK,HAWK,MAJESTON ZELIA,KINCAID DR. JANE FO,ADVA,DIAMOND CHUCKY,COUNT NEFARIA LUCHI,RAMIREZ JAVIER,FURY COL. NICHOLAS ,PROTOCIDE/PRIVATE CL,CARTER SHARON,BILLUPS AGENT,FERRARI CONNIE,CYCLOPS/SCOTT SUMMER,HOGAN HAROLD J. HAP,THOMPSON EUGENE FLA,SUB-MARINER/NAMOR MA,WATSON ANNA,KRAVEN THE HUNTER/SE,MR. FANTASTIC/REED R,SANDMAN/WILLIAM BAKE,OSBORN LIZ ALLAN,DR. OCTOPUS/OTTO OCT,DAREDEVIL/MATT MURDO,LEEDS NED,LEEDS BETTY BRANT,VULTURE/ADRIAN TOOME,GREEN GOBLIN/NORMAN ,BROMWELL DR.,CAPTAIN MARVEL II/MO,STINGER II/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SONIC,CHAIN,SPIDER-WOMAN II/JULI,CARPENTER RACHEL,IRON MAN/TONY STARK ,IRON MAN IV/JAMES R.,GRASP,CLEMSON MIKE,HAWK,COOPER DR. VALERIE,CARPENTER LARRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPIDER-WOMAN II/JULI,CHAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARPENTER RACHEL,CHAIN,SPIDER-WOMAN II/JULI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRASP,CHAIN,SPIDER-WOMAN II/JULI,CARPENTER RACHEL,IRON MAN/TONY STARK ,IRON MAN IV/JAMES R.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLEMSON MIKE,CHAIN,SPIDER-WOMAN II/JULI,CARPENTER RACHEL,IRON MAN/TONY STARK ,IRON MAN IV/JAMES R.,GRASP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COOPER DR. VALERIE,CHAIN,SPIDER-WOMAN II/JULI,CARPENTER RACHEL,IRON MAN/TONY STARK ,IRON MAN IV/JAMES R.,GRASP,CLEMSON MIKE,HAWK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARPENTER LARRY,CHAIN,SPIDER-WOMAN II/JULI,CARPENTER RACHEL,IRON MAN/TONY STARK ,IRON MAN IV/JAMES R.,GRASP,CLEMSON MIKE,HAWK,COOPER DR. VALERIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RED GUARDIAN III/DR.,DR. STRANGE/STEPHEN ,DOLLAR BILL,HELLCAT/PATSY WALKER,NIGHTHAWK II/KYLE RI,DEVIL-SLAYER/ERIC SI,NORRISS SISTER BARB,HULK/DR. ROBERT BRUC,WHIZZER II/STANLEY S,ARCANNA/ARCANNA JONE,MAKKARI/MIKE KHARY/I,KRONOS,LORD CHAOS,BALLANTINE KAYLA,EON,QUASAR III/WENDELL V,MOONDRAGON/HEATHER D,DR. SPECTRUM/JOSEPH ,TANAKA KENJIRO,LADY LARK/LINDA LEWI,GARFIELD MURRAY,SHAPE,HYPERION,SERGEI,MAELSTROM/MALCOLM ST,JACK OF HEARTS/JACK ,DRAGONFLY/VERONICA D,OVERMIND/GROM,4-D MAN/MERCURIO,BI-BEAST II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DR. STRANGE/STEPHEN ,CLEA,UMAR,LURKING UNKNOWN,WOLFE SARA,D'SPAYRE,DWELLER IN DARKNESS,SCARECROW II,NIGHTMARE/EDVARD HAB,NOX,RINTRAH,PHOBOS,TOPAZ,PIP/PRINCE GOFERN,DR. DOOM/VICTOR VON ,SCARLET WITCH/WANDA ,HULK/DR. ROBERT BRUC,DRAX/ARTHUR DOUGLAS,HELA [ASGARDIAN],WARLOCK II/ADAM WARL,BARON BLOOD II/VICTO,AGAMOTTO,CAESAR JULIUS,BLESSING MORGANA,SILVER SURFER/NORRIN,CHANG IMEI,WHIZZER II/STANLEY S,ARCANNA/ARCANNA JONE,MAKKARI/MIKE KHARY/I,KRONOS,LORD CHAOS,BALLANTINE KAYLA,EON,QUASAR III/WENDELL V,MOONDRAGON/HEATHER D,DR. SPECTRUM/JOSEPH ,TANAKA KENJIRO,LADY LARK/LINDA LEWI,GARFIELD MURRAY,SHAPE,HYPERION,SERGEI,MAELSTROM/MALCOLM ST,JACK OF HEARTS/JACK ,RED GUARDIAN III/DR.,POWER PRINCESS/ZARDA,GARGOYLE II/ISAAC CH,CYCLOPS/SCOTT SUMMER,HOGAN HAROLD J. HAP,THOMPSON EUGENE FLA,SUB-MARINER/NAMOR MA,THOR/DR. DONALD BLAK,GREEN GOBLIN/NORMAN ,PARKER MAY,BEAST/HENRY &HANK& P,WASP/JANET VAN DYNE ,ICEMAN/ROBERT BOBBY ,SPIDER-MAN/PETER PAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOLLAR BILL,DR. STRANGE/STEPHEN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HELLCAT/PATSY WALKER,DR. STRANGE/STEPHEN ,DOLLAR BILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIGHTHAWK II/KYLE RI,DR. STRANGE/STEPHEN ,DOLLAR BILL,HELLCAT/PATSY WALKER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEVIL-SLAYER/ERIC SI,DR. STRANGE/STEPHEN ,DOLLAR BILL,HELLCAT/PATSY WALKER,NIGHTHAWK II/KYLE RI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORRISS SISTER BARB,DR. STRANGE/STEPHEN ,DOLLAR BILL,HELLCAT/PATSY WALKER,NIGHTHAWK II/KYLE RI,DEVIL-SLAYER/ERIC SI,ICEMAN/ROBERT BOBBY ,BEAST/HENRY &HANK& P,SOUTHERN CANDY,MANSLAUGHTER,DRAGON OF THE MOON,ANDROMEDA/ANDROMEDA ,ANGEL/WARREN KENNETH,HUMAN TORCH/JOHNNY S,GARGOYLE II/ISAAC CH,BEYONDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANNER BETTY ROSS T,HULK/DR. ROBERT BRUC,ROSS GEN. THADDEUS ,COBALT MAN,MASTERMIND/JASON WYN,ROBERTS TED,ARMBRUSTER COLONEL ,LOCKJAW [INHUMAN],QUICKSILVER/PIETRO M,CRYSTAL [INHUMAN],BLACK BOLT/BLACKANTO,TRITON,KARNAK [INHUMAN],WARLOCK II/ADAM WARL,ANALYZER,MAN-BEAST,RHINO,WILSON JIM,JUGGERNAUT/CAIN MARK,JONES RICHARD MILHO,TALBOT GLENN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSS GEN. THADDEUS ,HULK/DR. ROBERT BRUC,WARLOCK II/ADAM WARL,ANALYZER,MAN-BEAST,BANNER BETTY ROSS T,RHINO,ARMBRUSTER COLONEL ,JUGGERNAUT/CAIN MARK,ROBERTS TED,COBALT MAN,JONES RICHARD MILHO,TALBOT GLENN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COBALT MAN,HULK/DR. ROBERT BRUC,ROSS GEN. THADDEUS ,ROBERTS TED,ARMBRUSTER COLONEL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASTERMIND/JASON WYN,HULK/DR. ROBERT BRUC,ROSS GEN. THADDEUS ,COBALT MAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBERTS TED,HULK/DR. ROBERT BRUC,ROSS GEN. THADDEUS ,COBALT MAN,MASTERMIND/JASON WYN,MIMIC/CALVIN RANKIN,KUKULCAN/VIRAKO/QUET,TOLOC,RAMON,PUPPET MASTER/PHILLI,PROFESSOR X/CHARLES ,CYCLOPS/SCOTT SUMMER,SPIDER-MAN/PETER PAR,SCARLET WITCH/WANDA ,ZELDA,ICEMAN/ROBERT BOBBY ,MARVEL GIRL/JEAN GRE,ANGEL/WARREN KENNETH,CANTOR VERA,QUICKSILVER/PIETRO M,BEAST/HENRY &HANK& P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMBRUSTER COLONEL ,HULK/DR. ROBERT BRUC,ROSS GEN. THADDEUS ,COBALT MAN,MASTERMIND/JASON WYN,ROBERTS TED,RHINO,JUGGERNAUT/CAIN MARK,BANNER BETTY ROSS T,MARVEL GIRL/JEAN GRE,PROFESSOR X/CHARLES ,WILSON JIM,CYCLOPS/SCOTT SUMMER,CORBEAU DR. PETER,BRICKFORD CLAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GORGON [INHUMAN],LOCKJAW [INHUMAN],QUICKSILVER/PIETRO M,CRYSTAL [INHUMAN],BLACK BOLT/BLACKANTO,TRITON,HULK/DR. ROBERT BRUC,KARNAK [INHUMAN],BANNER BETTY ROSS T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOCKJAW [INHUMAN],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRYSTAL [INHUMAN],LOCKJAW [INHUMAN],QUICKSILVER/PIETRO M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLACK BOLT/BLACKANTO,LOCKJAW [INHUMAN],QUICKSILVER/PIETRO M,CRYSTAL [INHUMAN],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRITON,LOCKJAW [INHUMAN],QUICKSILVER/PIETRO M,CRYSTAL [INHUMAN],BLACK BOLT/BLACKANTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARNAK [INHUMAN],LOCKJAW [INHUMAN],QUICKSILVER/PIETRO M,CRYSTAL [INHUMAN],BLACK BOLT/BLACKANTO,TRITON,HULK/DR. ROBERT BRUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WARLOCK II/ADAM WARL,HULK/DR. ROBERT BRUC,MAN-BEAST,ANALYZER,TOPAZ,DR. STRANGE/STEPHEN ,WONG,CLEA,SCARLET WITCH/WANDA ,ETERNITY/ADAM QADMON,WOLFE SARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANALYZER,WARLOCK II/ADAM WARL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAN-BEAST,WARLOCK II/ADAM WARL,ANALYZER,HULK/DR. ROBERT BRUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABOMINATION/EMIL BLO,HULK/DR. ROBERT BRUC,RHINO,ARMBRUSTER COLONEL ,ROSS GEN. THADDEUS ,WILSON JIM,BANNER BETTY ROSS T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHINO,HULK/DR. ROBERT BRUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILSON JIM,HULK/DR. ROBERT BRUC,RHINO,ARMBRUSTER COLONEL ,ROSS GEN. THADDEUS ,JUGGERNAUT/CAIN MARK,BANNER BETTY ROSS T,MARVEL GIRL/JEAN GRE,PROFESSOR X/CHARLES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUGGERNAUT/CAIN MARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROFESSOR X/CHARLES ,JUGGERNAUT/CAIN MARK,ROSS GEN. THADDEUS ,BANNER BETTY ROSS T,HULK/DR. ROBERT BRUC,MARVEL GIRL/JEAN GRE,PLANTMAN/SAM SMITHER,CYCLOPS/SCOTT SUMMER,ICEMAN/ROBERT BOBBY ,BEAST/HENRY &HANK& P,SCARECROW/EBENEZER L,ZELDA,ANGEL/WARREN KENNETH,HENDERSHOOT COLONEL,PORCUPINE/ALEX GENTR,COUNT NEFARIA LUCHI,FREDERICKS GENERAL,PENANCE/MONET ST. CR,EEL/LEOPOLD STRYKE,UNICORN/MYLOS MASARY,SUPREME ONE,BLOB/FRED J. DUKES,LUCIFER,DOMINUS,MIMIC/CALVIN RANKIN,KUKULCAN/VIRAKO/QUET,TOLOC,RAMON,ROBERTS TED,EL TIGRE,PUPPET MASTER/PHILLI,LOCUST,BANSHEE/SEAN CASSIDY,OGRE,PSYLOCKE/ELISABETH B,ROGUE /,MAGOG II,ARIZE,QUARK,MOJO,GAMBIT/REMY LEBEAU ,BISHOP /,KINE BENEDICT,PAYGE REEVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORBEAU DR. PETER,JUGGERNAUT/CAIN MARK,ROSS GEN. THADDEUS ,BANNER BETTY ROSS T,HULK/DR. ROBERT BRUC,MARVEL GIRL/JEAN GRE,PROFESSOR X/CHARLES ,WILSON JIM,CYCLOPS/SCOTT SUMMER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRICKFORD CLAY,BANNER BETTY ROSS T,ROSS GEN. THADDEUS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISSING LINK,BANNER BETTY ROSS T,ROSS GEN. THADDEUS ,BRICKFORD CLAY,ARMBRUSTER COLONEL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STACY PAUL,VENOM/EDDIE BROCK,SPIDER-MAN/PETER PAR,PARKER MAY,STACY ARTHUR,STACY JILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VENOM/EDDIE BROCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARKER MAY,VENOM/EDDIE BROCK,SPIDER-MAN/PETER PAR,WATSON-PARKER MARY ,GRANT GLORIA GLORY,FAIRMONT HANNAH,WARD SEN. STEWART,LEEDS BETTY BRANT,KAINE,ELLIS KEN,SPIDER-MAN CLONE/BEN,GRIM HUNTER/KRAVINOF,BYRNES GAYLE WATSON,TOMBSTONE/LONNIE THO,SPIDERCIDE,JACKAL/MILES WARREN,JACK,CAPUTO DR. JULIA,JAMESON J. JONAH,RAVEN LT. JACOB,ROBERTSON JOE,SHIFFMAN MAXIE,CYCLOPS/SCOTT SUMMER,KINGPIN/WILSON FISK,OSBORN LIZ ALLAN,THUNDERBALL/DR. ELIO,FROG-MAN II/EUGENE P,VULTURE/ADRIAN TOOME,KRAVEN THE HUNTER/SE,LIGHTMASTER/EDWARD L,TARANTULA/ANTON MIGU,LIZARD/DR. CURTIS CO,WATSON ANNA,THOMPSON EUGENE FLA,MORBIUS/DR. MICHAEL ,HOGAN HAROLD J. HAP,SUB-MARINER/NAMOR MA,THOR/DR. DONALD BLAK,GREEN GOBLIN/NORMAN ,INVISIBLE WOMAN/SUE ,ANT-MAN/DR. HENRY J.,MYSTERIO/QUENTIN BEC,BIG MAN/FREDERICK FO,FANCY DAN,MONTANA,GAMBONNO ERNESTO,OX,WARREN MR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STACY ARTHUR,VENOM/EDDIE BROCK,SPIDER-MAN/PETER PAR,PARKER MAY,WATSON-PARKER MARY ,WARD SEN. STEWART,STACY JILL,THOMPSON EUGENE FLA,BULLSEYE II/BENJAMIN,KINGPIN/WILSON FISK,LEEDS BETTY BRANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
